title,release_date,vote_average,vote_count,genre_ids,year
Peace,2010-01-05,7.1,14.0,[99],2010
1945: The Savage Peace,2015-05-24,7.625,12.0,"[99, 36, 10770]",2015
Dave Allen at Peace,2018-04-02,4.4,18.0,"[10770, 18, 35]",2018
Peace Hotel,1995-04-12,5.9,41.0,"[28, 80, 37]",1995
Short Peace,2013-07-20,6.4,74.0,[16],2013
Love & Peace,2015-06-26,6.9,53.0,"[35, 14, 18]",2015
Love & Peace,2015-06-26,6.9,53.0,"[35, 14, 18]",2015
Peace Breaker,2017-08-18,6.7,31.0,"[80, 28]",2017
Hammarskjöld: Fight for Peace,2023-12-25,6.2,39.0,"[53, 18, 36]",2023
War and Peace,1968-04-28,7.5,152.0,"[36, 18, 10752, 10749]",1968
Currency and Peace,1988-07-01,6.5,17.0,"[18, 80]",1988
"War and Peace, Part I: Andrei Bolkonsky",1965-07-01,7.5,76.0,"[36, 10749, 10752, 18]",1965
Peaceful Death,2020-07-25,6.4,14.0,[18],2020
"War and Peace, Part IV: Pierre Bezukhov",1967-11-04,7.4,55.0,"[36, 10749, 10752, 18]",1967
The Peace and Love Process,2023-06-07,5.1,38.0,"[10749, 18, 35]",2023
Peaceful,2021-07-16,7.1,100.0,[18],2021
Rest in Peace,2024-03-21,5.8,68.0,[18],2024
"War and Peace, Part III: The Year 1812",1967-07-21,7.5,60.0,"[36, 10749, 10752, 18]",1967
The Fifth Day of Peace,1970-04-17,5.4,22.0,"[18, 10752]",1970
Totò Seeks Peace,1954-12-17,6.3,23.0,[35],1954
Lucy Shimmers and the Prince of Peace,2020-10-19,8.373,353.0,"[18, 10751]",2020
To Live in Peace,1947-03-13,7.2,12.0,"[35, 18, 10752]",1947
Almost Peaceful,2002-12-18,5.5,16.0,"[35, 18, 10749]",2002
Go with Peace Jamil,2008-05-30,5.8,11.0,"[28, 18, 80]",2008
Valley of Peace,1956-07-23,6.4,14.0,"[10752, 18]",1956
Harmony,2018-10-04,6.2,42.0,"[14, 10749, 53, 878]",2018
Sing a Bit of Harmony,2021-10-29,7.5,67.0,"[16, 18, 878]",2021
Harmony,2015-11-13,6.9,94.0,"[53, 16, 878]",2015
Harmony,2010-01-28,7.6,37.0,"[18, 10402]",2010
Harmony Lessons,2013-02-06,6.9,35.0,[18],2013
In Harmony,2015-04-15,5.9,92.0,[18],2015
Trolls Holiday in Harmony,2021-11-26,7.2,192.0,"[16, 14, 10751, 35]",2021
Harmonium,2016-10-08,6.6,97.0,[18],2016
Werckmeister Harmonies,2001-02-01,7.8,378.0,[18],2001
Harmonie,2014-03-01,7.7,33.0,"[16, 18]",2014
The Harmonium in My Memory,1999-03-27,6.5,39.0,"[10749, 18]",1999
Holiday Harmony,2022-11-24,6.693,58.0,"[10749, 35, 10402, 10770]",2022
Love in Harmony Valley,2020-07-12,7.4,28.0,"[10749, 10770]",2020
Harmony and Me,2010-01-15,5.6,16.0,"[35, 10749]",2010
Harmony From The Heart,2022-02-12,6.7,21.0,"[10770, 10749, 35]",2022
Christmas in Harmony,2021-10-29,5.0,14.0,"[35, 10749, 10770, 18]",2021
Christmas Harmony,2018-11-24,6.1,28.0,"[35, 18, 10402, 10770]",2018
Haunted Harmony Mysteries: Murder in G Major,2023-09-22,7.9,16.0,"[10770, 9648]",2023
The Devil's Harmony,2019-10-30,5.6,17.0,"[27, 35, 10402]",2019
Perfect Harmony,2022-10-16,6.3,12.0,"[10770, 35, 10749]",2022
Haunted Harmony Mysteries: Buried at C,2025-10-12,7.545,11.0,"[10770, 9648]",2025
A Country Christmas Harmony,2022-11-18,5.5,11.0,"[10770, 18, 10749]",2022
The Harmonists,1997-12-25,6.7,66.0,"[10402, 18]",1997
