title,release_date,vote_average,vote_count,genre_ids,year
War,2007-08-24,6.386,2016,"[28, 80, 53]",2007
War,2019-10-02,6.7,374,"[28, 53, 12]",2019
War Machine,2026-02-12,7.3,1334,"[28, 878, 53]",2026
War of the Worlds,2025-07-29,4.1,947,"[878, 53]",2025
WAR,2023-11-03,9.4,21,"[53, 10752, 18, 16, 9648]",2023
War,1911-12-08,9.5,21,[10752],1911
Avengers: Infinity War,2018-04-25,8.233,31682,"[12, 28, 878]",2018
War,2005-09-01,8.3,27,[],2005
War,2017-02-26,9.5,14,"[28, 80, 53]",2017
War,2023-05-13,9.4,22,[18],2023
Star Wars: The Last Jedi,2017-12-13,6.756,16199,"[12, 28, 878]",2017
The Codes of War,2025-03-20,6.2,62,"[28, 10752]",2025
Kaguya-sama: Love Is War -The First Kiss That Never Ends-,2022-12-17,7.9,90,"[16, 35, 10749]",2022
Twilight of the Warriors: Walled In,2024-05-01,7.0,430,"[28, 80, 53]",2024
Karmouz War,2018-06-15,6.0,50,"[28, 10752, 18]",2018
Female War: A Nasty Deal,2015-09-27,5.7,33,"[18, 10749]",2015
War 2,2025-08-13,5.78,59,"[28, 12, 53]",2025
The Warrior's Way,2010-12-01,6.6,656,"[12, 14, 28, 37, 53]",2010
Star Wars,1977-05-25,8.201,22121,"[12, 28, 878]",1977
Tae Guk Gi: The Brotherhood of War,2004-02-05,7.986,756,"[28, 12, 18, 36, 10752]",2004
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,7.136,11404,"[12, 10751, 14]",2005
Kamen Rider × Super Sentai: Super Hero Wars,2012-04-21,6.2,14,"[28, 12, 878]",2012
Summer Wars,2009-08-01,7.5,1012,"[16, 878]",2009
Kamen Rider × Super Sentai: Ultra Super Hero Wars,2017-03-25,5.7,18,"[28, 12, 878]",2017
Blue Is the Warmest Color,2013-10-09,7.071,4839,"[10749, 18]",2013
The Flowers of War,2011-12-15,7.43,887,"[18, 36, 10752]",2011
Captain America: Civil War,2016-04-27,7.447,23870,"[12, 28, 878]",2016
Battle of Warsaw 1920,2011-09-30,4.6,47,"[18, 10752, 36]",2011
Warrior of the Lost World,1983-01-01,2.7,50,"[28, 878]",1983
Warriors of Future,2022-08-05,7.013,479,"[18, 28, 878]",2022
War of the Arrows,2011-08-10,7.2,283,"[18, 28, 36]",2011
The Warlords,2007-12-12,6.784,365,"[28, 18, 36]",2007
Waru,2006-02-25,4.8,12,[80],2006
Doraemon the Movie: Nobita's Little Star Wars 2021,2022-03-04,6.5,129,"[16, 878, 12, 10751, 14, 35]",2022
The Strange Vice of Mrs Wardh,1971-01-15,6.798,168,"[27, 9648, 80]",1971
Dragon Nest: Warriors' Dawn,2014-05-20,7.582,152,"[14, 16]",2014
Prisoner of War,2025-09-19,7.12,166,"[28, 10752, 53, 36]",2025
Dynasty Warriors,2021-04-27,5.9,140,"[28, 12, 14]",2021
Chou Deneiban SD Gundam Sangokuden Brave Battle Warriors,2010-02-27,6.1,47,"[16, 35, 878]",2010
Godzilla: Final Wars,2004-12-04,7.1,355,"[28, 12, 878, 14, 53]",2004
Thumb Wars: The Phantom Cuticle,1999-11-02,6.2,40,"[35, 878, 28]",1999
Alien Warfare,2019-04-05,4.1,150,"[28, 878, 53]",2019
Pokémon: Giratina and the Sky Warrior,2008-07-19,6.8,269,"[10751, 12, 16, 14]",2008
Royal Warriors,1986-06-26,6.8,60,"[28, 80, 18, 53]",1986
Warfare,2025-04-09,7.075,1378,"[10752, 28]",2025
Wolf Warrior 2,2017-07-27,6.508,327,"[10752, 28]",2017
Saint Seiya: Warriors of the Final Holy Battle,1989-03-18,7.347,251,"[28, 16, 14]",1989
Seven Days War,2019-12-13,6.5,83,"[16, 18, 28]",2019
Zu Warriors,2001-08-09,5.6,73,"[14, 28]",2001
Doraemon: Nobita's Little Star Wars,1985-03-16,7.1,53,"[16, 12, 10751, 14, 878]",1985
Drug War,2012-11-15,6.9,304,"[28, 18, 80]",2012
Wolf Warrior,2015-04-02,6.201,279,"[28, 10752]",2015
Our War Game,2000-03-04,8.0,68,"[12, 16, 28, 878]",2000
Sakura Wars: The Movie,2001-12-22,4.5,13,"[28, 16, 35, 878]",2001
The Volunteers: To the War,2023-09-28,6.0,20,"[18, 10752, 36]",2023
World War Z,2013-06-19,6.824,16371,"[28, 27, 878, 53]",2013
The Tomorrow War,2021-09-03,7.469,4028,"[28, 878, 12]",2021
Cold War II,2016-07-08,6.258,118,"[28, 53, 80]",2016
The Last Warrior: Root of Evil,2020-12-24,6.7,205,"[14, 12, 35]",2020
Venus Wars,1989-03-11,6.7,62,"[28, 16, 878]",1989
Primitive War,2025-08-21,6.543,257,"[28, 27, 10752, 878]",2025
War on Terror: KL Anarchy,2023-11-23,7.4,15,"[28, 80, 53]",2023
God of War,2017-05-27,6.3,101,"[28, 36]",2017
Star Wars: The Rise of Skywalker,2019-12-18,6.272,10720,"[12, 28, 878]",2019
Dragon Wars: D-War,2007-08-01,4.6,446,"[14, 18, 27, 28, 53, 878]",2007
Moon Warriors,1992-12-19,6.4,31,"[28, 10749]",1992
The Warring States,2011-04-12,4.4,14,"[18, 28, 10749, 10752]",2011
Civil War,2024-04-10,6.856,4217,"[10752, 28, 18]",2024
Conflict,1945-06-15,6.6,76,[53],1945
Lone Wolf and Cub: The Final Conflict,1993-02-06,7.462,13,"[28, 53]",1993
Conflict,1983-01-01,7.1,30,[16],1983
The Final Conflict,1981-03-20,5.8,627,"[27, 9648, 53]",1981
Area of Conflict,2017-05-04,7.6,22,"[28, 12, 18, 53]",2017
Fatal Conflict,2000-11-10,4.4,12,"[18, 878, 28]",2000
